prompt,prefix,suffix
"small plush snowshoe kitten standing small and cute, text""ありがとうね""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten sitting upright with long slender ears, text""おつかれ""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten lying stretched out elegantly, text""ありがとう""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten holding tiny scarf, text""よろしくね""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten tilting narrow face softly, text""こんにちは""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten sitting with long tail curled, text""がんばって""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten wrapped in small blanket, text""おはよう""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten peeking over cushion edge, text""またね""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten resting lightly on soft rug, text""OK""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten hugging tiny pillow, text""うれしい""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten looking upward with calm eyes, text""おつかれさま""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten sitting near tiny lamp, text""ゆっくりね""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten holding small cup, text""ほっとしてる""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Peterbald kitten lying on side with long legs relaxed, text""了解しました""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
