prompt,prefix,suffix
"small plush Selkirk Rex kitten, excited pose, text""すばらしい！""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Selkirk Rex kitten, waking up on cushion, text""おはようございます""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Selkirk Rex kitten, curled up for sleep, text""おやすみなさい""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Selkirk Rex kitten, stepping forward, text""いってきます""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Selkirk Rex kitten, holding chest fluff, text""大丈夫？""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Selkirk Rex kitten, standing firmly, text""がんばります！""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Selkirk Rex kitten, with tiny gift, text""HAPPY BIRTHDAY""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Selkirk Rex kitten, gentle bow, text""ありがとう""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Selkirk Rex kitten, cheerful raise paw, text""GO! GO!""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Selkirk Rex kitten, sparkling eyes, text""楽しみです！""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
