prompt,prefix,suffix
"Japanese text “夢を追いかけろ！” determined woman with red scarf in beige horse costume, running pose, text color black, side angle  ","realistic beautiful anime-style illustration, high-detail lighting and vivid color contrast,
set against a solid bright sky-blue background (flat color, no gradient, no transparency),  
the entire head and hairstyle must be fully visible with clear space above,  
centered framing showing head to waist,  
moderately large bold Japanese text,  
colored in one or two harmonious tones randomly chosen per image  
(from red, orange, pink, yellow, black, or gray),  
consistent single-color appearance within each image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
outlined with subtle dark border for readability and contrast (no white outline),  
maintains consistent margin and balanced placement across all images,  
natural winter light, calm confident mood.  

#",
"Japanese text “新年も元気に！” lively woman with short black hair in light brown outfit, raised arm, text color orange, vivid light  ","realistic beautiful anime-style illustration, high-detail lighting and vivid color contrast,
set against a solid bright sky-blue background (flat color, no gradient, no transparency),  
the entire head and hairstyle must be fully visible with clear space above,  
centered framing showing head to waist,  
moderately large bold Japanese text,  
colored in one or two harmonious tones randomly chosen per image  
(from red, orange, pink, yellow, black, or gray),  
consistent single-color appearance within each image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
outlined with subtle dark border for readability and contrast (no white outline),  
maintains consistent margin and balanced placement across all images,  
natural winter light, calm confident mood.  

#",
"Japanese text “ダッシュ初め！” energetic woman with brown ponytail in horse hoodie, mid-run pose, text color red, HDR contrast  ","realistic beautiful anime-style illustration, high-detail lighting and vivid color contrast,
set against a solid bright sky-blue background (flat color, no gradient, no transparency),  
the entire head and hairstyle must be fully visible with clear space above,  
centered framing showing head to waist,  
moderately large bold Japanese text,  
colored in one or two harmonious tones randomly chosen per image  
(from red, orange, pink, yellow, black, or gray),  
consistent single-color appearance within each image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
outlined with subtle dark border for readability and contrast (no white outline),  
maintains consistent margin and balanced placement across all images,  
natural winter light, calm confident mood.  

#",
"Japanese text “馬力でいこう！” smiling woman with layered hair in caramel horse outfit, dynamic angle, text color gold, warm lighting  ","realistic beautiful anime-style illustration, high-detail lighting and vivid color contrast,
set against a solid bright sky-blue background (flat color, no gradient, no transparency),  
the entire head and hairstyle must be fully visible with clear space above,  
centered framing showing head to waist,  
moderately large bold Japanese text,  
colored in one or two harmonious tones randomly chosen per image  
(from red, orange, pink, yellow, black, or gray),  
consistent single-color appearance within each image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
outlined with subtle dark border for readability and contrast (no white outline),  
maintains consistent margin and balanced placement across all images,  
natural winter light, calm confident mood.  

#",
"Japanese text “のんびり正月” calm woman with wavy hair in soft beige costume, sitting relaxed, text color black, soft front light  ","realistic beautiful anime-style illustration, high-detail lighting and vivid color contrast,
set against a solid bright sky-blue background (flat color, no gradient, no transparency),  
the entire head and hairstyle must be fully visible with clear space above,  
centered framing showing head to waist,  
moderately large bold Japanese text,  
colored in one or two harmonious tones randomly chosen per image  
(from red, orange, pink, yellow, black, or gray),  
consistent single-color appearance within each image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
outlined with subtle dark border for readability and contrast (no white outline),  
maintains consistent margin and balanced placement across all images,  
natural winter light, calm confident mood.  

#",
"Japanese text “今年も笑顔で！” bright woman with ponytail in dark brown horse hoodie, open smile, text color orange, even lighting  ","realistic beautiful anime-style illustration, high-detail lighting and vivid color contrast,
set against a solid bright sky-blue background (flat color, no gradient, no transparency),  
the entire head and hairstyle must be fully visible with clear space above,  
centered framing showing head to waist,  
moderately large bold Japanese text,  
colored in one or two harmonious tones randomly chosen per image  
(from red, orange, pink, yellow, black, or gray),  
consistent single-color appearance within each image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
outlined with subtle dark border for readability and contrast (no white outline),  
maintains consistent margin and balanced placement across all images,  
natural winter light, calm confident mood.  

#",
"Japanese text “全力で楽しむ！” playful woman with short hair and red ribbon, joyful gesture, text color red, front lighting  ","realistic beautiful anime-style illustration, high-detail lighting and vivid color contrast,
set against a solid bright sky-blue background (flat color, no gradient, no transparency),  
the entire head and hairstyle must be fully visible with clear space above,  
centered framing showing head to waist,  
moderately large bold Japanese text,  
colored in one or two harmonious tones randomly chosen per image  
(from red, orange, pink, yellow, black, or gray),  
consistent single-color appearance within each image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
outlined with subtle dark border for readability and contrast (no white outline),  
maintains consistent margin and balanced placement across all images,  
natural winter light, calm confident mood.  

#",
"Japanese text “新春チャージ！” determined woman with long hair in horse kigurumi, crossed arms, text color gold, HDR tone  ","realistic beautiful anime-style illustration, high-detail lighting and vivid color contrast,
set against a solid bright sky-blue background (flat color, no gradient, no transparency),  
the entire head and hairstyle must be fully visible with clear space above,  
centered framing showing head to waist,  
moderately large bold Japanese text,  
colored in one or two harmonious tones randomly chosen per image  
(from red, orange, pink, yellow, black, or gray),  
consistent single-color appearance within each image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
outlined with subtle dark border for readability and contrast (no white outline),  
maintains consistent margin and balanced placement across all images,  
natural winter light, calm confident mood.  

#",
"Japanese text “目標に向かってGO！” ambitious woman with ponytail and bangs, pointing forward, text color red, warm morning light  ","realistic beautiful anime-style illustration, high-detail lighting and vivid color contrast,
set against a solid bright sky-blue background (flat color, no gradient, no transparency),  
the entire head and hairstyle must be fully visible with clear space above,  
centered framing showing head to waist,  
moderately large bold Japanese text,  
colored in one or two harmonious tones randomly chosen per image  
(from red, orange, pink, yellow, black, or gray),  
consistent single-color appearance within each image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
outlined with subtle dark border for readability and contrast (no white outline),  
maintains consistent margin and balanced placement across all images,  
natural winter light, calm confident mood.  

#",
"Japanese text “初笑いしよう！” cheerful woman with brown bob in horse hoodie, laughing, text color pink, soft HDR tone  ","realistic beautiful anime-style illustration, high-detail lighting and vivid color contrast,
set against a solid bright sky-blue background (flat color, no gradient, no transparency),  
the entire head and hairstyle must be fully visible with clear space above,  
centered framing showing head to waist,  
moderately large bold Japanese text,  
colored in one or two harmonious tones randomly chosen per image  
(from red, orange, pink, yellow, black, or gray),  
consistent single-color appearance within each image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
outlined with subtle dark border for readability and contrast (no white outline),  
maintains consistent margin and balanced placement across all images,  
natural winter light, calm confident mood.  

#",
