prompt,prefix,suffix
"A man wearing multiple scarves, Japanese text “首あったか戦法”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man warming his hands over a mug, Japanese text “ぬくもり最高”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man looking at his car windshield frozen, Japanese text “凍ってるやん！”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man blowing on his frozen fingers, Japanese text “生きてる実感”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man in pajamas with a beanie drinking cocoa, Japanese text “これが幸せ”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man sighing at the window watching snow fall, Japanese text “今日、外出たくねぇ”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man sharing a kotatsu with his cat, Japanese text “おまえも寒いのか”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man covering his face with a scarf, Japanese text “顔が冷たい！”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man looking shocked at his heating bill, Japanese text “電気代、ヤバ…”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man slipping on icy road, Japanese text “あぶねっ！”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man stretching by the heater, Japanese text “極楽…”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man cooking instant ramen in the cold kitchen, Japanese text “湯気がごちそう”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man holding a hot pack in both hands, Japanese text “これしか勝たん”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man in glasses breathing on his fingers, Japanese text “寒すぎてキー打てん”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man shaking while brushing his teeth, Japanese text “冷水の地獄…”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man trying to defrost a frozen door, Japanese text “開かねぇ！”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man walking fast with hunched shoulders, Japanese text “風やめて！”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man putting socks over socks, Japanese text “重ね履き最強”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man sitting in front of a heater like it’s TV, Japanese text “ずっと見てられる”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man clutching a warm bottle, Japanese text “お前しか勝たん”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
"A man sneezing loudly, Japanese text “くしゅんッ！”","Ultra-detailed semi-realistic digital illustration of a Japanese man in winter.
The atmosphere is bright but cold, showing the breath in frosty air.
Natural expression, cinematic lighting, warm highlights against a cool snowy tone.
The man’s features are expressive and relatable, not model-like but realistic and kind.


#","

Soft cinematic winter lighting, subtle snow particles in the air, gentle contrast between cold blue tones and warm highlights.
High resolution, clean composition, slightly humorous yet heartwarming atmosphere.
Perfect for LINE stickers — clear readable Japanese text, no cluttered background."
