prompt,prefix,suffix
"A super muscular man holding kagami mochi with a smile, Japanese text “あけましておめでとう！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a perfectly clear bright blue winter sky with no clouds at all. Large bold English text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, inspired by comic or motivational poster style. Lighting is bright HDR, sunlight creates clean highlights on skin and clothing, background is pure blue sky with smooth gradient and no visible ground. The overall composition emphasizes both the strong body and the vivid English text, creating a cheerful, energetic New Year and motivational feeling.


#",
"A muscular woman in kimono waving her hand, Japanese text “今年もよろしく！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a bright blue winter sky. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, resembling brush calligraphy or New Year greeting style. Lighting is bright with HDR tone, background shows only sky and light clouds, no ground visible. The overall composition emphasizes both the strong body and the vivid text, creating an eye-catching and cheerful New Year atmosphere.

#",
"A shirtless muscular man doing a double biceps pose at sunrise, Japanese text “初日の出パワー！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a bright blue winter sky. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, resembling brush calligraphy or New Year greeting style. Lighting is bright with HDR tone, background shows only sky and light clouds, no ground visible. The overall composition emphasizes both the strong body and the vivid text, creating an eye-catching and cheerful New Year atmosphere.

#",
"A muscular woman holding an omamori charm, Japanese text “運気アップ！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a bright blue winter sky. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, resembling brush calligraphy or New Year greeting style. Lighting is bright with HDR tone, background shows only sky and light clouds, no ground visible. The overall composition emphasizes both the strong body and the vivid text, creating an eye-catching and cheerful New Year atmosphere.

#",
"A muscular man and woman together posing beside kadomatsu, Japanese text “Happy New Year!”","Ultra-realistic digital illustration of an extremely muscular man or woman under a bright blue winter sky. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, resembling brush calligraphy or New Year greeting style. Lighting is bright with HDR tone, background shows only sky and light clouds, no ground visible. The overall composition emphasizes both the strong body and the vivid text, creating an eye-catching and cheerful New Year atmosphere.

#",
"A muscular man flying a kite shaped like a dumbbell, Japanese text “上がれ筋力！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a bright blue winter sky. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, resembling brush calligraphy or New Year greeting style. Lighting is bright with HDR tone, background shows only sky and light clouds, no ground visible. The overall composition emphasizes both the strong body and the vivid text, creating an eye-catching and cheerful New Year atmosphere.

#",
"A muscular woman writing calligraphy with the word “鍛” on paper, Japanese text “書き初め中！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a bright blue winter sky. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, resembling brush calligraphy or New Year greeting style. Lighting is bright with HDR tone, background shows only sky and light clouds, no ground visible. The overall composition emphasizes both the strong body and the vivid text, creating an eye-catching and cheerful New Year atmosphere.

#",
"A muscular man wearing a red scarf drinking amazake, Japanese text “温まる〜！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a bright blue winter sky. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, resembling brush calligraphy or New Year greeting style. Lighting is bright with HDR tone, background shows only sky and light clouds, no ground visible. The overall composition emphasizes both the strong body and the vivid text, creating an eye-catching and cheerful New Year atmosphere.

#",
"A muscular woman smiling with a fan decorated with cranes, Japanese text “お正月気分！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a bright blue winter sky. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, resembling brush calligraphy or New Year greeting style. Lighting is bright with HDR tone, background shows only sky and light clouds, no ground visible. The overall composition emphasizes both the strong body and the vivid text, creating an eye-catching and cheerful New Year atmosphere.

#",
"A muscular man kneeling politely, Japanese text “今年も筋肉に感謝！”","Ultra-realistic digital illustration of an extremely muscular man or woman under a bright blue winter sky. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and soft shadow for readability. The font style is bold and dynamic, resembling brush calligraphy or New Year greeting style. Lighting is bright with HDR tone, background shows only sky and light clouds, no ground visible. The overall composition emphasizes both the strong body and the vivid text, creating an eye-catching and cheerful New Year atmosphere.

#",
