prompt,prefix,suffix,title,done
"Japanese middle-aged man wearing a skin-tight full-body spandex suit, face exposed, giving a small polite bow, painful cold expression, theme:「おはようございます」","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.87 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick black outline, centered prominently.

in cold winter",,1
"Japanese middle-aged man wearing a skin-tight full-body spandex suit, face exposed, pumping his fist with determination, painful cold expression, theme:「今日もがんばろう」","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.88 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick black outline, centered prominently.

in cold winter",,1
"Japanese middle-aged man wearing a skin-tight full-body spandex suit, face exposed, waving gently, cheerful smile despite cold, theme:「こんにちは」","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.89 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick black outline, centered prominently.

in cold winter",,1
"Japanese middle-aged man wearing a skin-tight full-body spandex suit, face exposed, giving a trembling thumbs-up, pained cold expression, theme:「OK」","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.90 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick black outline, centered prominently.

in cold winter",,1
"Japanese middle-aged man wearing a skin-tight full-body spandex suit, face exposed, shivering hard with freezing painful expression, icy breath swirling, theme:「了解です」","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.91 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick black outline, centered prominently.

in cold winter",,1
"Japanese middle-aged man wearing a skin-tight full-body spandex suit, face exposed, trembling while raising hand in approval, freezing painful expression, theme:「いいですね」","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.92 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick black outline, centered prominently.

in cold winter",,1
"Japanese middle-aged man wearing a skin-tight full-body spandex suit, face exposed, hands together in gratitude while visibly shivering, painful cold expression, theme:「いつもありがとう」","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.93 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick black outline, centered prominently.

in cold winter",,1
"Japanese middle-aged man wearing a skin-tight full-body spandex suit, face exposed, hugging himself gently to keep warm, freezing painful expression, theme:「ゆっくりしてください」","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.94 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick black outline, centered prominently.

in cold winter",,1
"Japanese middle-aged man wearing a skin-tight full-body spandex suit, face exposed, trying to pose confidently while shaking from cold, painful expression, theme:「いい感じ！」","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.95 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick black outline, centered prominently.

in cold winter",,1
"Japanese middle-aged man wearing a skin-tight full-body spandex suit, face exposed, placing hand on chest with freezing painful expression, white breath, theme:「助かります」","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.96 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#",":Text overlay (centered, bold, safe zone). winter

in cold winter",,1
