prompt,prefix,suffix
"Girl smiling softly, Japanese text “こごえるけど、なんか好き”",,
"Boy standing outside window, Japanese text “こごえる世界、静かすぎる”",,
"Girl under blanket, Japanese text “こごえる足先、ぬくもり探し”",,
"Boy holding cat, Japanese text “こごえる夜も、いっしょに”",,
"Girl writing on fogged glass, Japanese text “こごえる息でハート描いた”",,
"Boy looking at streetlight, Japanese text “こごえる光、やさしい”",,
"Girl sitting on bench, Japanese text “こごえる風、背中を押す”",,
"Boy drinking tea, Japanese text “こごえる朝に、ほっとひと息”",,
"Girl holding umbrella in snow, Japanese text “こごえる雪、音がきれい”",,
"Boy with red cheeks, Japanese text “こごえる顔も、笑顔ならOK”",,
"Girl yawning, Japanese text “こごえる朝、あと5分…”",,
"Boy looking up, Japanese text “こごえる星空、見とれた”",,
"Girl rubbing hands, Japanese text “こごえる手、あたためて”",,
"Boy feeding stray cat, Japanese text “こごえる夜に、やさしさひとつ”",,
"Girl standing by train station, Japanese text “こごえる電車待ち…”",,
"Boy covering mouth, Japanese text “こごえる息、白く消える”",,
"Girl smiling with scarf, Japanese text “こごえる日も、笑顔で”",,
"Boy warming coffee cup, Japanese text “こごえる指先、しみる温度”",,
"Girl with rosy nose, Japanese text “こごえるけど、冬がすき”",,
"Boy lighting candle, Japanese text “こごえる夜を照らす灯り”",,
"Girl leaning on window, Japanese text “こごえる窓に、手をあてて”",,
"Boy walking in snow, Japanese text “こごえる道を、ゆっくり進む”",,
"Girl sitting near kotatsu, Japanese text “こごえる足先、救われた”",,
"Boy looking sleepy, Japanese text “こごえる朝、起きられない”",,
"Girl blowing warm breath, Japanese text “こごえる世界、ふぅっと”",,
"Boy and girl sharing scarf, Japanese text “こごえる風も、ふたりなら”",,
"Girl watching snowfall, Japanese text “こごえる雪、心はあったか”",,
"Boy brushing snow off shoulder, Japanese text “こごえるな〜…”",,
"Girl with mittens, Japanese text “こごえるけど、外で遊びたい”",,
"Boy hugging mug, Japanese text “こごえる夜、カフェオレ救い”",,
"Girl looking out from café, Japanese text “こごえる景色、絵みたい”",,
"Boy smiling in wind, Japanese text “こごえる風の中で笑えた”",,
"Girl petting a dog, Japanese text “こごえるけど、しあわせ”",,
"Boy sitting on steps, Japanese text “こごえる石段、冬の香り”",,
"Girl lighting heater, Japanese text “こごえる朝、スイッチON”",,
"Boy stretching arms, Japanese text “こごえる肩が重い…”",,
"Girl whispering, Japanese text “こごえる夜に、おやすみ”",,
"Boy eating soup, Japanese text “こごえる日には、あったかスープ”",,
"Girl reading book, Japanese text “こごえるページに、ぬくもり”",,
