prompt,prefix,suffix
"rabbit plush looking at sky, text""今日もがんばろう""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

#",
"bear plush with coffee mug, text""ほっとひと息""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

#",
"fox plush holding gift box, text""ありがとう！""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

#",
"cat plush sitting near window, text""やさしい時間""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

#",
"duckling plush holding small book, text""読書中""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

#",
"hamster plush lying on rug, text""ごろごろしてる""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

#",
"shiba plush holding small rice ball, text""おいしい！""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

#",
"rabbit plush turning around, text""また会おう""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

#",
"panda plush sitting quietly, text""静かな夜""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

#",
"fox plush smiling slightly, text""だいじょうぶ""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

#",
