prompt,prefix,suffix,title,done
"beautiful Asian woman in elegant traditional kimono, warm gentle smile, looking at camera with kind eyes, holding Japanese text sign reading '了解です', soft winter lighting","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.263 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",claude_kimonogirl,1
"attractive Asian woman in sophisticated navy kimono, friendly wave gesture, charming expression, Japanese text 'はーい' displayed prominently, cozy atmosphere","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.264 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",claude_kimonogirl,1
"graceful Asian woman in refined dark kimono, nodding with approval, confident smile, text reading 'いいですね', warm indoor setting","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.265 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",claude_kimonogirl,1
"elegant Asian woman in traditional formal kimono, respectful bow pose, sincere expression, Japanese text 'よろしくお願いします', professional yet warm","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.266 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",claude_kimonogirl,1
"lovely Asian woman in morning kimono style, fresh awakening scene, gentle morning smile, text 'おはようございます', soft sunrise lighting","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.267 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",claude_kimonogirl,1
"attractive Asian woman in evening kimono, relaxed posture, warm smile in dim lighting, Japanese text 'こんばんは', cozy night ambiance","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.268 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",claude_kimonogirl,1
"graceful Asian woman in winter kimono with haori, slightly shivering but smiling, text '寒いですねー', cold breath visible","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.269 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",claude_kimonogirl,1
"beautiful Asian woman in work kimono, tired but satisfied expression, gentle smile, text 'お疲れ様です', end of day atmosphere","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.270 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",claude_kimonogirl,1
"caring Asian woman in warm-toned kimono, protective gentle expression, hand gesture of warmth, text 'あたたくして過ごしてね', concerned caring look","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.271 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",claude_kimonogirl,1
"attractive Asian woman in sleepwear kimono, peaceful goodnight expression, soft lighting, text 'おやすみなさい', nighttime bedroom setting","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.272 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",claude_kimonogirl,1
