prompt,prefix,suffix
"A muscular horse-man with chestnut mane and warm eyes in a festive hoodie, smiling brightly, text “あけおめ！”  ","high-quality beautiful,  
under a perfectly clear bright blue winter sky with no clouds at all,  
background is pure blue with a smooth gradient and no visible ground,  
moderately large bold Japanese text,  
consistent single-color appearance within each individual image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
white or subtle shadow outline for readability and contrast,  
maintains consistent margin and balanced placement across all images,  
natural winter lighting, soft directional light from above.  

#",
"A tall elegant horse-man with sleek black mane, arms crossed confidently, text “走り抜けろ！”  ","high-quality beautiful,  
under a perfectly clear bright blue winter sky with no clouds at all,  
background is pure blue with a smooth gradient and no visible ground,  
moderately large bold Japanese text,  
consistent single-color appearance within each individual image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
white or subtle shadow outline for readability and contrast,  
maintains consistent margin and balanced placement across all images,  
natural winter lighting, soft directional light from above.  

#",
"A cheerful light-brown horse-man raising a cup of tea under winter sun, text “正月モードON！”  ","high-quality beautiful,  
under a perfectly clear bright blue winter sky with no clouds at all,  
background is pure blue with a smooth gradient and no visible ground,  
moderately large bold Japanese text,  
consistent single-color appearance within each individual image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
white or subtle shadow outline for readability and contrast,  
maintains consistent margin and balanced placement across all images,  
natural winter lighting, soft directional light from above.  

#",
"A silver-maned horse-man leaning forward with determined grin, text “スタートダッシュ！”  ","high-quality beautiful,  
under a perfectly clear bright blue winter sky with no clouds at all,  
background is pure blue with a smooth gradient and no visible ground,  
moderately large bold Japanese text,  
consistent single-color appearance within each individual image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
white or subtle shadow outline for readability and contrast,  
maintains consistent margin and balanced placement across all images,  
natural winter lighting, soft directional light from above.  

#",
"A calm white horse-man wearing a beige jacket, gentle smile, text “おめでとうございます！”  ","high-quality beautiful,  
under a perfectly clear bright blue winter sky with no clouds at all,  
background is pure blue with a smooth gradient and no visible ground,  
moderately large bold Japanese text,  
consistent single-color appearance within each individual image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
white or subtle shadow outline for readability and contrast,  
maintains consistent margin and balanced placement across all images,  
natural winter lighting, soft directional light from above.  

#",
"A dark-chestnut horse-man with scarf and warm expression, text “のんびりいこう”  ","high-quality beautiful,  
under a perfectly clear bright blue winter sky with no clouds at all,  
background is pure blue with a smooth gradient and no visible ground,  
moderately large bold Japanese text,  
consistent single-color appearance within each individual image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
white or subtle shadow outline for readability and contrast,  
maintains consistent margin and balanced placement across all images,  
natural winter lighting, soft directional light from above.  

#",
"A stylish horse-man with golden mane holding a red envelope, text “福を呼ぶ男”  ","high-quality beautiful,  
under a perfectly clear bright blue winter sky with no clouds at all,  
background is pure blue with a smooth gradient and no visible ground,  
moderately large bold Japanese text,  
consistent single-color appearance within each individual image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
white or subtle shadow outline for readability and contrast,  
maintains consistent margin and balanced placement across all images,  
natural winter lighting, soft directional light from above.  

#",
"A relaxed horse-man with short brown mane, both hands behind head, text “休み最高”  ","high-quality beautiful,  
under a perfectly clear bright blue winter sky with no clouds at all,  
background is pure blue with a smooth gradient and no visible ground,  
moderately large bold Japanese text,  
consistent single-color appearance within each individual image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
white or subtle shadow outline for readability and contrast,  
maintains consistent margin and balanced placement across all images,  
natural winter lighting, soft directional light from above.  

#",
"A serious horse-man with short black mane, looking straight ahead, text “勝負の年だ”  ","high-quality beautiful,  
under a perfectly clear bright blue winter sky with no clouds at all,  
background is pure blue with a smooth gradient and no visible ground,  
moderately large bold Japanese text,  
consistent single-color appearance within each individual image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
white or subtle shadow outline for readability and contrast,  
maintains consistent margin and balanced placement across all images,  
natural winter lighting, soft directional light from above.  

#",
"A cheerful horse-man with wavy mane in tan coat, text “スマイルスタート！”  ","high-quality beautiful,  
under a perfectly clear bright blue winter sky with no clouds at all,  
background is pure blue with a smooth gradient and no visible ground,  
moderately large bold Japanese text,  
consistent single-color appearance within each individual image,  
automatically scaled to fit safely within the frame without touching edges,  
placed near the character but not overlapping key features like face or hands,  
white or subtle shadow outline for readability and contrast,  
maintains consistent margin and balanced placement across all images,  
natural winter lighting, soft directional light from above.  

#",
